Extracting  10000  images.
Extracting  10000  labels
Extracting  1000  images.
Extracting  1000  labels
step 2410, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:43:47
step 2420, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:44:06
step 2430, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:44:24
step 2440, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:44:42
step 2450, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:45:01
step 2460, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:45:19
step 2470, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:45:37
step 2480, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:45:55
step 2490, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:46:13
step 2500, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:46:31
step 2510, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:46:50
step 2520, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:47:09
step 2530, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:47:30
step 2540, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:47:50
step 2550, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:48:10
step 2560, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:48:30
step 2570, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:48:50
step 2580, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:49:08
step 2590, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:49:26
step 2600, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:49:45
step 2610, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:50:02
step 2620, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:50:21
step 2630, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:50:42
step 2640, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:51:02
step 2650, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:51:22
step 2660, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:51:42
step 2670, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:52:01
step 2680, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:52:19
step 2690, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:52:38
step 2700, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:52:57
step 2710, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:53:14
step 2720, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:53:34
step 2730, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:53:53
step 2740, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:54:12
step 2750, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:54:32
step 2760, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:54:51
step 2770, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:55:10
step 2780, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:55:29
step 2790, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:55:47
step 2800, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:56:05
step 2810, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:56:23
step 2820, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:56:41
step 2830, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:56:58
step 2840, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 19:57:16
step 2850, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:57:34
step 2860, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:57:52
step 2870, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:58:10
step 2880, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:58:29
step 2890, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:58:48
step 2900, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:59:06
step 2910, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:59:23
step 2920, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 19:59:42
step 2930, training accuracy 0.98 , Light( 30 ), Dist( 50 ), 2015-11-28 20:00:02
step 2940, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 20:00:21
step 2950, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 20:00:39
step 2960, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 20:01:00
step 2970, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 20:01:19
step 2980, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 20:01:37
step 2990, training accuracy 1 , Light( 30 ), Dist( 50 ), 2015-11-28 20:01:56
